Source,Target
4383949,4383950
4383949,4383917
4383949,4383924
4383950,4383945
4383950,4383949
4383950,4383950
4383950,4383924
4383951,4383924
4383952,4383924
4383914,4383937
4383914,4383918
4383914,4383924
4383917,4383913
4383919,4383941
4383920,4383941
4383920,4383915
4383922,4383946
4383922,4383952
4383922,4383923
4383922,4383924
4383923,4383941
4383923,4383946
4383923,4383915
4383923,4383921
4383923,4383922
4383923,4383924
4383923,4383925
4383924,4383946
4383924,4383921
4383925,4383946
4383914,113200
4383914,120798
4383914,123784
4383914,128570
4383914,129628
4383914,117812
4383914,116806
4383913,575849
4383913,121438
4383913,116835
4383913,106969
4383913,107305
4383913,122518
4383913,124349
4383913,113606
4383913,115834
4383913,125233
4383913,120291
4383913,107188
4383913,127414
4383913,111821
4383913,107306
4383913,113195
4383913,122565
4383913,124709
4383913,107110
4383913,123796
4383913,116158
4383913,116689
4383913,119377
4383913,108806
4383913,118970
4383913,112438
4383913,120544
4383913,124923
4383913,107903
4383916,116539
4383916,127339
4383916,107343
4383916,116015
4383916,110812
4383916,113016
4383916,113867
4383916,116115
4383916,114016
4383916,110748
4383916,116342
4383916,109186
4383916,114173
4383916,110252
4383916,121723
4383916,110257
4383916,116788
4383916,109318
4383916,109545
4383916,109535
4383916,109542
4383916,108287
4383916,113583
4383916,113067
4383916,107425
4383916,116581
4383916,119569
4383916,110306
4383916,115520
4383916,108332
4383916,117544
4383916,109538
4383916,119327
4383916,113251
4383916,117437
4383916,108577
4383916,114578
4383916,109544
4383916,119650
4383916,111224
4383916,115017
4383916,111824
4383916,107251
4383916,109393
4383916,4383916
4383916,129767
4383916,115448
4383916,120870
4383916,114454
4383916,116365
4383916,118169
4383916,114906
4383916,116022
4383916,114505
4383916,109402
4383916,110001
4383948,117720
4383948,116979
4383948,4383859
4383949,108562
4383949,106556
4383949,4383949
4383950,112638
4383950,114492
4383950,117305
4383950,115308
4383950,116589
4383950,106566
4383950,109826
4383950,110355
4383950,119022
4383950,113098
4383950,115895
4383950,114472
4383950,111658
4383950,108562
4383950,115160
4383950,111659
4383950,115480
4383950,128177
4383950,124019
4383950,119324
4383950,112737
4383950,114897
4383951,116717
4383951,4383951
4383952,116929
4383952,106804
4383952,4383952
4383953,4383953
4383953,111100
4383953,107888
4383940,119062
4383940,116459
4383940,111264
4383941,4383941
4383942,116788
4383942,4383942
4383944,4383944
4383944,111100
4383944,127414
4383944,119973
4383944,107306
4383944,112508
4383944,115569
4383944,110253
4383944,107006
4383944,114572
4383944,4383855
4383944,109036
4383944,106998
4383945,107225
4383945,114454
4383946,114439
4383947,114594
4383947,124876
4383947,109218
4383947,118845
4383947,116929
4383947,114405
4383947,112508
4383947,106804
4383917,108950
4383917,115864
4383917,121475
4383917,107125
4383917,117405
4383917,107387
4383917,108083
4383917,126367
4383917,4383917
4383917,108288
4383917,111369
4383917,123553
4383917,112965
4383917,109681
4383917,111756
4383917,114424
4383917,115377
4383917,112986
4383917,119312
4383917,114905
4383917,131497
4383917,129991
4383917,114225
4383917,115275
4383917,114891
4383917,117188
4383917,115128
4383917,115563
4383917,115311
4383917,111759
4383917,107203
4383917,120891
4383917,114617
4383917,114281
4383917,113999
4383917,115947
4383917,106628
4383917,110916
4383917,107008
4383917,113624
4383917,117191
4383917,107423
4383917,114325
4383917,114305
4383917,108551
4383917,107234
4383917,108946
4383917,116769
4383918,109332
4383918,121475
4383918,107125
4383918,117405
4383918,115914
4383918,119124
4383918,119000
4383918,114879
4383918,106606
4383918,113010
4383918,107127
4383918,115492
4383918,110391
4383918,110919
4383918,117982
4383918,110324
4383918,114323
4383918,116978
4383918,110233
4383918,111134
4383918,121775
4383918,4383917
4383918,116890
4383918,109569
4383918,123546
4383918,120074
4383918,108288
4383918,115548
4383918,119395
4383918,117491
4383918,116162
4383918,109681
4383918,110358
4383918,109919
4383918,115352
4383918,111756
4383918,116790
4383918,111750
4383918,118090
4383918,114908
4383918,125280
4383918,112906
4383918,112904
4383918,111678
4383918,112986
4383918,114905
4383918,111689
4383918,111413
4383918,106699
4383918,113649
4383918,123760
4383918,109786
4383918,109811
4383918,129991
4383918,106605
4383918,116604
4383918,114555
4383918,123296
4383918,110253
4383918,111677
4383918,117102
4383918,115122
4383918,126285
4383918,110751
4383918,117573
4383918,115128
4383918,109001
4383918,122802
4383918,568672
4383918,127145
4383918,107113
4383918,116244
4383918,115563
4383918,113560
4383918,111759
4383918,111683
4383918,110272
4383918,109341
4383918,117337
4383918,119636
4383918,122736
4383918,114091
4383918,116220
4383918,112758
4383918,4383918
4383918,107203
4383918,114439
4383918,113752
4383918,108489
4383918,121540
4383918,115582
4383918,112768
4383918,114907
4383918,106564
4383918,111761
4383918,114617
4383918,114321
4383918,115947
4383918,123313
4383918,110916
4383918,119629
4383918,113647
4383918,107008
4383918,111674
4383918,115522
4383918,111690
4383918,114325
4383918,116112
4383918,114305
4383918,108551
4383918,107234
4383918,115385
4383919,4383919
4383920,106962
4383920,119062
4383920,110960
4383920,115085
4383920,121393
4383920,107027
4383920,121572
4383920,120511
4383920,122167
4383920,117058
4383920,116777
